,reserves,inflation,debt
2015-03-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-04-30,7302096590.22385,3.76836783062096,73.5126591624451
2015-05-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-06-30,7302096590.22385,3.76836783062096,73.5126591624451
2015-07-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-08-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-09-30,7302096590.22385,3.76836783062096,73.5126591624451
2015-10-31,7302096590.22385,3.76836783062096,73.5126591624451
2015-11-30,7302096590.22385,3.76836783062096,73.5126591624451
2015-12-31,7302096590.22385,3.76836783062096,73.5126591624451
2016-01-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-02-29,6008199165.17799,3.9588884659307,73.5126591624451
2016-03-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-04-30,6008199165.17799,3.9588884659307,73.5126591624451
2016-05-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-06-30,6008199165.17799,3.9588884659307,73.5126591624451
2016-07-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-08-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-09-30,6008199165.17799,3.9588884659307,73.5126591624451
2016-10-31,6008199165.17799,3.9588884659307,73.5126591624451
2016-11-30,6008199165.17799,3.9588884659307,73.5126591624451
2016-12-31,6008199165.17799,3.9588884659307,73.5126591624451
2017-01-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-02-28,7959047614.93675,7.70413767850602,73.5126591624451
2017-03-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-04-30,7959047614.93675,7.70413767850602,73.5126591624451
2017-05-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-06-30,7959047614.93675,7.70413767850602,73.5126591624451
2017-07-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-08-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-09-30,7959047614.93675,7.70413767850602,73.5126591624451
2017-10-31,7959047614.93675,7.70413767850602,73.5126591624451
2017-11-30,7959047614.93675,7.70413767850602,73.5126591624451
2017-12-31,7959047614.93675,7.70413767850602,73.5126591624451
2018-01-31,6920825566.09992,2.135037737132,73.5126591624451
2018-02-28,6920825566.09992,2.135037737132,73.5126591624451
2018-03-31,6920825566.09992,2.135037737132,73.5126591624451
2018-04-30,6920825566.09992,2.135037737132,73.5126591624451
2018-05-31,6920825566.09992,2.135037737132,73.5126591624451
2018-06-30,6920825566.09992,2.135037737132,73.5126591624451
2018-07-31,6920825566.09992,2.135037737132,73.5126591624451
2018-08-31,6920825566.09992,2.135037737132,73.5126591624451
2018-09-30,6920825566.09992,2.135037737132,73.5126591624451
2018-10-31,6920825566.09992,2.135037737132,73.5126591624451
2018-11-30,6920825566.09992,2.135037737132,73.5126591624451
2018-12-31,6920825566.09992,2.135037737132,73.5126591624451
2019-01-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-02-28,7648305273.42442,3.52839358231811,73.5126591624451
2019-03-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-04-30,7648305273.42442,3.52839358231811,73.5126591624451
2019-05-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-06-30,7648305273.42442,3.52839358231811,73.5126591624451
2019-07-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-08-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-09-30,7648305273.42442,3.52839358231811,73.5126591624451
2019-10-31,7648305273.42442,3.52839358231811,73.5126591624451
2019-11-30,7648305273.42442,3.52839358231811,73.5126591624451
2019-12-31,7648305273.42442,3.52839358231811,73.5126591624451
2020-01-31,5663994385.32784,6.15394508391738,73.5126591624451
